,aqi,pm2_5,pm10,temp,humidity,wind_speed,wind_direction
2025-04-20 21Hrs,144.0,53.0,176.0,32.0, 6,13.0,286° WNW
2025-04-20 22Hrs,144.0,53.0,211.0,32.0, 6,13.0,286° WNW
2025-04-20 23Hrs,150.0,55.0,208.0,30.0, 8,11.0,277° W
2025-04-21 00Hrs,154.0,60.0,160.0,28.0, 8,5.0,334° NNW
2025-04-21 01Hrs,126.0,46.0,159.0,28.0, 8,5.0,334° NNW
2025-04-21 02Hrs,132.0,48.0,156.0,28.0, 8,5.0,334° NNW
2025-04-21 03Hrs,127.0,46.0,158.0,27.0, 9,8.0,266° W
2025-04-21 04Hrs,122.0,44.0,144.0,27.0, 9,8.0,265° W
2025-04-21 07Hrs,146.0,54.0,163.0,26.0,20,4.0,269° W
2025-04-21 08Hrs,152.0,57.0,204.0,29.0,16,7.0,264° W
2025-04-21 09Hrs,152.0,58.0,186.0,35.0, 7,10.0,278° W
2025-04-21 10Hrs,124.0,44.0,158.0,37.0, 6,12.0,274° W
2025-04-21 11Hrs,134.0,49.0,162.0,39.0, 5,15.0,269° W
2025-04-21 12Hrs,138.0,51.0,176.0,39.0, 5,15.0,269° W
2025-04-21 13Hrs,128.0,47.0,145.0,41.0, 4,16.0,245° WSW
2025-04-21 14Hrs,129.0,46.0,212.0,41.0, 3,18.0,245° WSW
2025-04-21 15Hrs,133.0,48.0,156.0,41.0, 3,20.0,252° WSW
2025-04-21 16Hrs,127.0,42.0,207.0,41.0, 2,23.0,256° WSW
2025-04-21 18Hrs,118.0,40.0,186.0,37.0, 3,17.0,261° W
2025-04-21 19Hrs,114.0,41.0,152.0,34.0, 4,14.0,256° WSW
2025-04-21 20Hrs,122.0,44.0,160.0,33.0, 5,13.0,256° WSW
2025-04-21 21Hrs,167.0,79.0,200.0,32.0, 5,13.0,260° W
2025-04-21 22Hrs,168.0,78.0,280.0,31.0, 5,13.0,274° W
2025-04-21 23Hrs,162.0,71.0,256.0,30.0, 6,14.0,273° W
2025-04-22 00Hrs,160.0,68.0,198.0,29.0, 6,14.0,289° WNW
2025-04-22 01Hrs,142.0,52.0,180.0,29.0, 6,14.0,289° WNW
2025-04-22 02Hrs,139.0,51.0,160.0,28.0, 6,13.0,280° W
2025-04-22 03Hrs,126.0,45.0,166.0,28.0, 6,13.0,280° W
2025-04-22 04Hrs,138.0,51.0,158.0,26.0, 7,12.0,254° WSW
2025-04-22 07Hrs,166.0,76.0,157.0,26.0, 7,9.0,239° WSW
2025-04-22 08Hrs,169.0,81.0,252.0,28.0, 6,12.0,248° WSW
2025-04-22 09Hrs,178,80,312,34, 5,18,259° W
