,aqi,pm2_5,pm10,temp,humidity,wind_speed,wind_direction
2025-04-08 15Hrs,77.0,23.0,66.0,34.0,36.0,17.0,93° E
2025-04-08 16Hrs,82.0,25.0,75.0,35.0,35.0,19.0,91° E
2025-04-08 17Hrs,91.0,30.0,69.0,34.0,36.0,20.0,88° E
2025-04-08 18Hrs,90.0,30.0,77.0,34.0,34.0,14.0,90° E
2025-04-08 19Hrs,90.0,30.0,77.0,34.0,34.0,14.0,90° E
2025-04-08 20Hrs,95.0,32.0,88.0,32.0,38.0,6.0,119° ESE
2025-04-08 21Hrs,95.0,32.0,88.0,32.0,38.0,6.0,119° ESE
2025-04-08 22Hrs,95.0,32.0,88.0,32.0,38.0,6.0,119° ESE
2025-04-08 23Hrs,107.0,38.0,88.0,28.0,54.0,24.0,148° SSE
2025-04-09 00Hrs,107.0,38.0,88.0,28.0,54.0,24.0,148° SSE
2025-04-09 01Hrs,100.0,34.0,83.0,26.0,74.0,24.0,134° SE
2025-04-09 02Hrs,100.0,34.0,83.0,26.0,74.0,24.0,134° SE
2025-04-09 03Hrs,100.0,34.0,83.0,26.0,74.0,24.0,134° SE
2025-04-09 04Hrs,100.0,34.0,83.0,26.0,74.0,24.0,134° SE
2025-04-09 07Hrs,100.0,35.0,94.0,23.0,65.0,16.0,147° SSE
2025-04-09 08Hrs,100.0,35.0,94.0,23.0,69.0,14.0,140° SE
2025-04-09 09Hrs,100.0,35.0,94.0,23.0,69.0,14.0,140° SE
2025-04-09 10Hrs,100.0,35.0,94.0,23.0,69.0,14.0,140° SE
2025-04-09 11Hrs,98.0,33.0,94.0,31.0,41.0,4.0,154° SSE
2025-04-09 12Hrs,84.0,27.0,78.0,33.0,34.0,4.0,26° NNE
2025-04-09 13Hrs,84.0,27.0,78.0,33.0,34.0,4.0,26° NNE
2025-04-09 14Hrs,84.0,27.0,78.0,33.0,34.0,4.0,26° NNE
2025-04-09 15Hrs,90.0,29.0,97.0,35.0,37.0,13.0,55° NE
2025-04-09 16Hrs,90.0,29.0,97.0,35.0,37.0,13.0,55° NE
2025-04-09 18Hrs,90.0,29.0,97.0,35.0,37.0,13.0,55° NE
2025-04-09 19Hrs,110.0,39.0,84.0,34.0,34.0,11.0,240° WSW
2025-04-09 20Hrs,110.0,39.0,84.0,34.0,34.0,11.0,240° WSW
2025-04-09 21Hrs,93.0,31.0,90.0,29.0,52.0,5.0,129° SE
2025-04-09 22Hrs,97.0,34.0,87.0,30.0,46.0,17.0,122° ESE
2025-04-09 23Hrs,97.0,33.0,83.0,30.0,33.0,15.0,125° SE
2025-04-10 00Hrs,97.0,33.0,83.0,30.0,33.0,15.0,125° SE
2025-04-10 01Hrs,97.0,33.0,83.0,30.0,33.0,15.0,125° SE
2025-04-10 02Hrs,90.0,30.0,78.0,26.0,70.0,13.0,143° SE
2025-04-10 03Hrs,90.0,30.0,78.0,26.0,70.0,13.0,143° SE
2025-04-10 04Hrs,97.0,33.0,83.0,30.0,33.0,15.0,125° SE
2025-04-10 07Hrs,88.0,29.0,77.0,26.0,65.0,12.0,156° SSE
2025-04-10 08Hrs,84.0,27.0,72.0,27.0,56.0,15.0,176° S
2025-04-10 09Hrs,84.0,27.0,72.0,27.0,56.0,15.0,176° S
2025-04-10 10Hrs,84.0,27.0,72.0,27.0,56.0,15.0,176° S
2025-04-10 11Hrs,79.0,24.0,68.0,31.0,46.0,15.0,245° WSW
2025-04-10 12Hrs,84.0,27.0,72.0,27.0,56.0,15.0,176° S
2025-04-10 13Hrs,79.0,24.0,68.0,31.0,46.0,15.0,245° WSW
2025-04-10 14Hrs,90.0,30.0,76.0,35.0,30.0,5.0,312° NW
2025-04-10 15Hrs,90.0,30.0,76.0,35.0,30.0,5.0,312° NW
2025-04-10 16Hrs,90.0,30.0,76.0,35.0,30.0,5.0,312° NW
2025-04-10 18Hrs,107.0,38.0,82.0,33.0,28.0,17.0,43° NE
2025-04-10 19Hrs,107.0,38.0,82.0,33.0,28.0,17.0,43° NE
2025-04-10 20Hrs,107.0,38.0,82.0,33.0,28.0,17.0,43° NE
2025-04-10 21Hrs,96.0,32.0,80.0,28.0,40.0,8.0,279° W
2025-04-10 22Hrs,96.0,32.0,80.0,28.0,40.0,8.0,279° W
2025-04-10 23Hrs,86.0,28.0,74.0,27.0,48.0,8.0,167° SSE
2025-04-11 00Hrs,91.0,30.0,85.0,27.0,45.0,16.0,214° SW
2025-04-11 01Hrs,91.0,30.0,85.0,27.0,45.0,16.0,214° SW
2025-04-11 02Hrs,91.0,30.0,85.0,27.0,45.0,16.0,214° SW
2025-04-11 03Hrs,91.0,30.0,85.0,27.0,45.0,16.0,214° SW
2025-04-11 04Hrs,91.0,30.0,85.0,27.0,45.0,16.0,214° SW
2025-04-11 07Hrs,86.0,28.0,77.0,27.0,51.0,16.0,260° W
2025-04-11 08Hrs,86.0,28.0,77.0,27.0,51.0,16.0,260° W
2025-04-11 09Hrs,86.0,28.0,77.0,27.0,51.0,16.0,260° W
2025-04-11 10Hrs,88.0,29.0,67.0,27.0,54.0,18.0,263° W
2025-04-11 11Hrs,90.0,30.0,73.0,31.0,49.0,19.0,299° WNW
2025-04-11 12Hrs,90.0,30.0,73.0,31.0,49.0,19.0,299° WNW
2025-04-11 13Hrs,87.0,28.0,74.0,33.0,44.0,11.0,315° NW
2025-04-11 14Hrs,96.0,33.0,81.0,34.0,39.0,6.0,282° WNW
2025-04-11 15Hrs,96.0,33.0,81.0,34.0,39.0,6.0,282° WNW
2025-04-11 16Hrs,96.0,33.0,80.0,35.0,30.0,7.0,193° SSW
2025-04-11 18Hrs,105.0,37.0,97.0,35.0,28.0,9.0,12° NNE
2025-04-11 19Hrs,100.0,34.0,97.0,33.0,34.0,9.0,12° NNE
2025-04-11 20Hrs,99.0,35.0,101.0,33.0,34.0,6.0,160° SSE
2025-04-11 21Hrs,99.0,35.0,101.0,33.0,34.0,6.0,160° SSE
2025-04-11 22Hrs,99.0,35.0,101.0,33.0,34.0,6.0,160° SSE
2025-04-11 23Hrs,109.0,39.0,102.0,28.0,62.0,12.0,165° SSE
2025-04-12 00Hrs,96.0,33.0,86.0,28.0,66.0,9.0,203° SSW
2025-04-12 01Hrs,96.0,33.0,86.0,28.0,66.0,9.0,203° SSW
2025-04-12 02Hrs,90.0,30.0,76.0,26.0,74.0,13.0,211° SSW
2025-04-12 03Hrs,89.0,29.0,76.0,26.0,74.0,12.0,166° SSE
2025-04-12 04Hrs,89.0,29.0,76.0,26.0,74.0,12.0,166° SSE
2025-04-12 07Hrs,98.0,34.0,80.0,25.0,65.0,18.0,238° WSW
2025-04-12 08Hrs,98.0,34.0,80.0,25.0,65.0,18.0,238° WSW
2025-04-12 09Hrs,92.0,31.0,82.0,27.0,58.0,19.0,249° WSW
2025-04-12 10Hrs,92.0,31.0,82.0,27.0,58.0,19.0,249° WSW
2025-04-12 11Hrs,91.0,30.0,82.0,32.0,36.0,12.0,356° N
2025-04-12 12Hrs,91.0,30.0,82.0,32.0,36.0,12.0,356° N
2025-04-12 13Hrs,84.0,26.0,85.0,33.0,30.0,6.0,29° NNE
2025-04-12 14Hrs,84.0,26.0,85.0,33.0,30.0,6.0,29° NNE
2025-04-12 15Hrs,96.0,33.0,88.0,36.0,22.0,17.0,45° NE
2025-04-12 16Hrs,96.0,33.0,88.0,36.0,22.0,17.0,45° NE
2025-04-12 18Hrs,89.0,29.0,85.0,35.0,15.0,13.0,17° NNE
2025-04-12 19Hrs,95.0,32.0,84.0,33.0,19.0,13.0,17° NNE
2025-04-12 20Hrs,95.0,32.0,84.0,33.0,19.0,13.0,17° NNE
2025-04-12 21Hrs,95.0,32.0,84.0,33.0,19.0,13.0,17° NNE
2025-04-12 22Hrs,95.0,32.0,84.0,33.0,19.0,13.0,17° NNE
2025-04-12 23Hrs,121.0,44.0,105.0,28.0,28.0,12.0,74° ENE
2025-04-13 00Hrs,121.0,44.0,105.0,28.0,28.0,12.0,74° ENE
2025-04-13 01Hrs,101.0,35.0,89.0,29.0,36.0,15.0,137° SE
2025-04-13 02Hrs,101.0,35.0,89.0,29.0,36.0,15.0,137° SE
2025-04-13 03Hrs,101.0,35.0,89.0,29.0,36.0,15.0,137° SE
2025-04-13 04Hrs,97.0,34.0,84.0,24.0,50.0,15.0,154° SSE
2025-04-13 08Hrs,112.0,40.0,91.0,26.0,51.0,6.0,202° SSW
2025-04-13 10Hrs,112.0,40.0,91.0,26.0,51.0,6.0,202° SSW
2025-04-13 11Hrs,96.0,33.0,87.0,31.0,33.0,13.0,120° ESE
2025-04-13 12Hrs,96.0,33.0,87.0,31.0,33.0,13.0,120° ESE
2025-04-13 13Hrs,93.0,32.0,82.0,35.0,30.0,9.0,139° SE
