,aqi,pm2_5,pm10,temp,humidity,wind_speed,wind_direction
2025-04-08 10Hrs,129.0,47.0,132.0,30.0,62.0,10.0,357° N
2025-04-08 11Hrs,129.0,47.0,132.0,30.0,62.0,10.0,357° N
2025-04-08 11:02:52Hrs,129.0,47.0,132.0,30.0,62.0,10.0,357° N
2025-04-08 11:04:01Hrs,129.0,47.0,132.0,30.0,62.0,10.0,357° N
2025-04-08 11:05:32Hrs,129.0,47.0,132.0,30.0,62.0,10.0,357° N
2025-04-08 13:24:27Hrs,131.0,48.0,133.0,34.0,53.0,18.0,334° NNW
2025-04-08 14:05:36Hrs,131.0,48.0,137.0,33.0,59.0,24.0,315° NW
2025-04-08 09:08:12Hrs,131.0,48.0,137.0,33.0,59.0,24.0,315° NW
2025-04-08 09:22:42Hrs,129.0,48.0,122.0,33.0,56.0,24.0,315° NW
2025-04-08 14Hrs,129,48,122,33,56,24,315° NW
