,aqi,pm2_5,pm10,temp,humidity,wind_speed,wind_direction
2025-04-20 21Hrs,149.0,56.0,156.0,31.0, 7,13.0,283° WNW
2025-04-20 22Hrs,145.0,53.0,202.0,30.0, 7,11.0,281° W
2025-04-20 23Hrs,157.0,68.0,151.0,29.0, 7,9.0,282° WNW
2025-04-21 00Hrs,142.0,52.0,120.0,27.0, 7,7.0,314° NW
2025-04-21 01Hrs,120.0,43.0,141.0,27.0, 7,7.0,314° NW
2025-04-21 02Hrs,122.0,44.0,144.0,27.0, 7,7.0,314° NW
2025-04-21 03Hrs,122.0,44.0,134.0,26.0, 7,7.0,21° NNE
2025-04-21 04Hrs,122.0,44.0,134.0,26.0, 7,7.0,21° NNE
2025-04-21 07Hrs,107.0,38.0,144.0,28.0, 8,9.0,286° WNW
2025-04-21 08Hrs,103.0,37.0,129.0,28.0, 8,9.0,286° WNW
2025-04-21 09Hrs,149.0,55.0,136.0,35.0, 5,10.0,296° WNW
2025-04-21 10Hrs,131.0,48.0,112.0,37.0, 5,12.0,293° WNW
2025-04-21 11Hrs,138.0,50.0,151.0,39.0, 4,15.0,251° WSW
2025-04-21 12Hrs,126.0,46.0,123.0,40.0, 3,16.0,236° SW
2025-04-21 13Hrs,124.0,46.0,146.0,41.0, 3,18.0,229° SW
2025-04-21 14Hrs,128.0,46.0,182.0,41.0, 2,18.0,231° SW
2025-04-21 15Hrs,118.0,42.0,135.0,41.0, 2,18.0,231° SW
2025-04-21 16Hrs,119.0,43.0,130.0,40.0, 2,21.0,237° WSW
2025-04-21 18Hrs,112.0,40.0,146.0,37.0, 4,12.0,233° SW
2025-04-21 19Hrs,128,46,148,33, 4,14,249° WSW
